TrackId,Name,AlbumId,MediaTypeId,GenreId,Bytes,Price,PublisherID
1,For Those About To Rock (We Salute You),1,1,1,11170334,0.99,1
2,Balls to the Wall,2,2,1,5510424,0.99,2
3,Fast As a Shark,3,2,1,3990994,0.99,3
4,Restless and Wild,3,2,1,4331779,0.99,3
5,Princess of the Dawn,3,2,1,6290521,0.99,3
6,Put The Finger On You,1,1,1,6713451,0.99,2
7,Let's Get It Up,1,1,1,7636561,0.99,2
8,Inject The Venom,1,1,1,6852860,0.99,4
9,Snowballed,1,1,1,6599424,0.99,1
10,Evil Walks,1,1,1,8611245,0.99,1
11,C.O.D.,1,1,1,6566314,0.99,2
12,Breaking The Rules,1,1,1,8596840,0.99,3
13,Night Of The Long Knives,1,1,1,6706347,0.99,4
14,Spellbound,1,1,1,8817038,0.99,4
15,Go Down,4,1,1,10847611,0.99,3
16,Dog Eat Dog,4,1,1,7032162,0.99,2
17,Let There Be Rock,4,1,1,12021261,0.99,2
18,Bad Boy Boogie,4,1,1,8776140,0.99,1
19,Problem Child,4,1,1,10617116,0.99,2
20,Overdose,4,1,1,12066294,0.99,1
21,Hell Ain't A Bad Place To Be,4,1,1,8331286,0.99,4
22,Whole Lotta Rosie,4,1,1,10547154,0.99,1
23,Walk On Water,5,1,1,9719579,0.99,3
24,Love In An Elevator,5,1,1,10552051,0.99,1
25,Rag Doll,5,1,1,8675345,0.99,3
26,What It Takes,5,1,1,10144730,0.99,2
27,Dude (Looks Like A Lady),5,1,1,8679940,0.99,1
28,Janie's Got A Gun,5,1,1,10869391,0.99,3
29,Cryin',5,1,1,10056995,0.99,1
30,Amazing,5,1,1,11616195,0.99,4
31,Blind Man,5,1,1,7877453,0.99,2
32,Deuces Are Wild,5,1,1,7074167,0.99,3
33,The Other Side,5,1,1,7983270,0.99,3
34,Crazy,5,1,1,10402398,0.99,4
35,Eat The Rich,5,1,1,8262039,0.99,1
36,Angel,5,1,1,9989331,0.99,4
37,Livin' On The Edge,5,1,1,12374569,0.99,2
38,All I Really Want,6,1,1,9375567,0.99,3
39,You Oughta Know,6,1,1,8196916,0.99,2
40,Perfect,6,1,1,6145404,0.99,2
41,Hand In My Pocket,6,1,1,7224246,0.99,2
42,Right Through You,6,1,1,5793082,0.99,4
43,Forgiven,6,1,1,9753256,0.99,1
44,You Learn,6,1,1,7824837,0.99,3
45,Head Over Feet,6,1,1,8758008,0.99,2
46,Mary Jane,6,1,1,9163588,0.99,2
47,Ironic,6,1,1,7598866,0.99,4
48,Not The Doctor,6,1,1,7604601,0.99,1
49,Wake Up,6,1,1,9703359,0.99,3
50,You Oughta Know (Alternate),6,1,1,16008629,0.99,2
51,We Die Young,7,1,1,4925362,0.99,1
52,Man In The Box,7,1,1,9310272,0.99,4
53,Sea Of Sorrow,7,1,1,11316328,0.99,2
54,Bleed The Freak,7,1,1,7847716,0.99,1
55,I Can't Remember,7,1,1,7302550,0.99,1
56,"Love, Hate, Love",7,1,1,12575396,0.99,2
57,It Ain't Like That,7,1,1,8993793,0.99,1
58,Sunshine,7,1,1,9216057,0.99,2
59,Put You Down,7,1,1,6420530,0.99,2
60,Confusion,7,1,1,11183647,0.99,2
61,I Know Somethin (Bout You),7,1,1,8497788,0.99,4
62,Real Thing,7,1,1,7937731,0.99,2
63,Desafinado,8,1,2,5990473,0.99,2
64,Garota De Ipanema,8,1,2,9348428,0.99,1
65,Samba De Uma Nota Só (One Note Samba),8,1,2,4535401,0.99,4
66,Por Causa De Você,8,1,2,5536496,0.99,3
67,Ligia,8,1,2,8226934,0.99,2
68,Fotografia,8,1,2,4198774,0.99,1
69,Dindi (Dindi),8,1,2,8149148,0.99,1
70,Se Todos Fossem Iguais A Você (Instrumental),8,1,2,4393377,0.99,4
71,Falando De Amor,8,1,2,7121735,0.99,2
72,Angela,8,1,2,5574957,0.99,4
73,Corcovado (Quiet Nights Of Quiet Stars),8,1,2,6687994,0.99,2
74,Outra Vez,8,1,2,4110053,0.99,4
75,O Boto (Bôto),8,1,2,12089673,0.99,4
76,"Canta, Canta Mais",8,1,2,8719426,0.99,4
77,Enter Sandman,9,1,3,7286305,0.99,2
78,Master Of Puppets,9,1,3,14375310,0.99,4
79,Harvester Of Sorrow,9,1,3,12372536,0.99,1
80,The Unforgiven,9,1,3,10422447,0.99,3
81,Sad But True,9,1,3,9405526,0.99,2
82,Creeping Death,9,1,3,10110980,0.99,2
83,Wherever I May Roam,9,1,3,12033110,0.99,1
84,Welcome Home (Sanitarium),9,1,3,11406431,0.99,1
85,Cochise,10,1,1,5339931,0.99,3
86,Show Me How to Live,10,1,1,6672176,0.99,1
87,Gasoline,10,1,1,6709793,0.99,4
88,What You Are,10,1,1,5988186,0.99,3
89,Like a Stone,10,1,1,7059624,0.99,1
90,Set It Off,10,1,1,6321091,0.99,1
91,Shadow on the Sun,10,1,1,8245793,0.99,1
92,I am the Highway,10,1,1,8041411,0.99,4
93,Exploder,10,1,1,4948095,0.99,4
94,Hypnotize,10,1,1,4961887,0.99,2
95,Bring'em Back Alive,10,1,1,7911634,0.99,4
96,Light My Way,10,1,1,7289084,0.99,2
97,Getaway Car,10,1,1,7193162,0.99,2
98,The Last Remaining Light,10,1,1,7622615,0.99,3
99,Your Time Has Come,11,1,4,8273592,0.99,4
100,Out Of Exile,11,1,4,9506571,0.99,1
101,Be Yourself,11,1,4,9106160,0.99,2
102,Doesn't Remind Me,11,1,4,8357387,0.99,2
103,Drown Me Slowly,11,1,4,7609178,0.99,1
104,Heaven's Dead,11,1,4,9006158,0.99,3
105,The Worm,11,1,4,7710800,0.99,4
106,Man Or Animal,11,1,4,7542942,0.99,2
107,Yesterday To Tomorrow,11,1,4,8944205,0.99,1
108,Dandelion,11,1,4,9003592,0.99,4
109,#1 Zero,11,1,4,9731988,0.99,4
110,The Curse,11,1,4,10029406,0.99,3
111,Money,12,1,5,2365897,0.99,3
112,Long Tall Sally,12,1,5,1707084,0.99,1
113,Bad Boy,12,1,5,1862126,0.99,4
114,Twist And Shout,12,1,5,2582553,0.99,4
115,Please Mr. Postman,12,1,5,2206986,0.99,3
116,C'Mon Everybody,12,1,5,2247846,0.99,4
117,Rock 'N' Roll Music,12,1,5,2276788,0.99,3
118,Slow Down,12,1,5,2616981,0.99,4
119,Roadrunner,12,1,5,2301989,0.99,4
120,Carol,12,1,5,2306019,0.99,2
121,Good Golly Miss Molly,12,1,5,1704918,0.99,1
122,20 Flight Rock,12,1,5,1299960,0.99,1
123,Quadrant,13,1,2,8538199,0.99,3
124,Snoopy's search-Red baron,13,1,2,15075616,0.99,1
125,"Spanish moss-""A sound portrait""-Spanish moss",13,1,2,8217867,0.99,2
126,Moon germs,13,1,2,9714812,0.99,1
